时间,练习生,总点赞量,粉丝数,点赞1次人数,点赞2次人数,点赞3次人数
2026-04-10 20:37:24,王橹杰,23168,17925,976,155,7286
2026-04-10 20:37:27,张函瑞,18398,12842,622,134,5832
2026-04-10 20:37:31,张桂源,17143,22102,816,183,5319
2026-04-10 20:37:34,杨博文,15442,31107,6470,97,4259
2026-04-10 20:37:37,陈奕恒,8751,12282,448,99,2701
2026-04-10 20:37:40,左奇函,8092,9138,444,74,2500
2026-04-10 20:37:43,陈浚铭,7676,6503,349,122,2363
2026-04-10 23:43:15,王橹杰,26006,18085,1150,196,8149
2026-04-10 23:43:18,张函瑞,20654,13060,729,178,6517
2026-04-10 23:43:22,张桂源,21056,22531,1145,241,6476
2026-04-10 23:43:25,杨博文,20278,31633,6626,105,5809
2026-04-10 23:43:28,陈奕恒,11079,12387,596,127,3408
2026-04-10 23:43:31,左奇函,10662,9361,643,106,3269
2026-04-10 23:43:34,陈浚铭,10221,7666,1450,135,2835
2026-04-11 17:22:59,王橹杰,18216,18525,707,99,5771
2026-04-11 17:23:02,张函瑞,15903,13516,527,106,5050
2026-04-11 17:23:05,张桂源,15379,23116,788,173,4748
2026-04-11 17:23:08,杨博文,14257,32464,480,77,4538
2026-04-11 17:23:11,陈奕恒,8855,12827,523,102,2708
2026-04-11 17:23:14,左奇函,7452,9637,429,85,2283
2026-04-11 17:23:17,陈浚铭,6768,7963,366,84,2078
2026-04-12 09:13:25,王橹杰,25094,19962,992,199,7920
2026-04-12 09:13:28,张函瑞,16461,14436,482,94,5275
2026-04-12 09:13:32,张桂源,14974,24262,704,157,4660
2026-04-12 09:13:35,杨博文,9807,33320,364,74,3110
2026-04-12 09:13:39,陈奕恒,8828,13363,501,106,2722
2026-04-12 09:13:42,左奇函,7412,9975,390,73,2300
2026-04-12 09:13:46,陈浚铭,8569,8735,408,80,2672
2026-04-12 10:25:01,王橹杰,25834,20016,1028,197,8125
2026-04-12 10:25:05,张函瑞,16977,14455,505,97,5416
2026-04-12 10:25:10,张桂源,15662,24289,747,164,4853
2026-04-12 10:25:14,杨博文,10457,33343,395,74,3304
2026-04-12 10:25:18,陈奕恒,9363,13376,510,112,2874
2026-04-12 10:25:23,左奇函,7788,9989,416,74,2408
2026-04-12 10:25:27,陈浚铭,8991,8761,417,86,2795
2026-04-12 19:30:44,王橹杰,26632,20088,1075,208,8368
2026-04-12 19:30:44,张函瑞,17557,14473,524,101,5599
2026-04-12 19:30:44,张桂源,16151,24303,774,167,5005
2026-04-12 19:30:44,杨博文,11000,33359,411,79,3476
2026-04-12 19:30:44,陈奕恒,9818,13388,534,117,3016
2026-04-12 19:30:44,左奇函,8108,9998,427,79,2508
2026-04-12 19:30:44,陈浚铭,9518,8796,432,87,2967
2026-04-12 19:58:07,王橹杰,26889,20103,1085,207,8452
2026-04-12 19:58:07,张函瑞,17719,14477,522,100,5656
2026-04-12 19:58:07,张桂源,16533,24319,790,175,5121
2026-04-12 19:58:07,杨博文,11206,33363,420,75,3544
2026-04-12 19:58:07,陈奕恒,10027,13391,543,118,3081
2026-04-12 19:58:07,左奇函,8261,10002,434,81,2555
2026-04-12 19:58:07,陈浚铭,9739,8815,440,89,3036
2026-04-12 22:11:09,王橹杰,28341,20210,1156,224,8899
2026-04-12 22:11:09,张函瑞,18841,14503,550,111,6013
2026-04-12 22:11:09,张桂源,18380,24364,872,190,5701
2026-04-12 22:11:09,杨博文,12479,33391,466,87,3945
2026-04-12 22:11:09,陈奕恒,11276,13438,627,135,3459
2026-04-12 22:11:09,左奇函,9079,10029,506,84,2802
2026-04-12 22:11:09,陈浚铭,10484,8864,485,98,3262
2026-04-13 02:04:09,王橹杰,6826,20503,258,40,2146
2026-04-13 02:04:09,张函瑞,4522,14621,141,24,1440
2026-04-13 02:04:09,张桂源,2766,24564,162,20,853
2026-04-13 02:04:09,杨博文,938,33431,58,8,288
2026-04-13 02:04:09,陈奕恒,1037,13507,75,10,308
2026-04-13 02:04:09,左奇函,1367,10104,75,17,419
2026-04-13 02:04:09,陈浚铭,1390,8964,50,17,434
2026-04-13 04:01:09,王橹杰,7334,20513,275,43,2308
2026-04-13 04:01:09,张函瑞,4895,14624,144,26,1562
2026-04-13 04:01:09,张桂源,2966,24568,173,23,914
2026-04-13 04:01:09,杨博文,1112,33432,62,9,344
2026-04-13 04:01:09,陈奕恒,1174,13511,84,11,350
2026-04-13 04:01:09,左奇函,1478,10109,74,15,458
2026-04-13 04:01:09,陈浚铭,1520,8965,54,17,476
2026-04-13 05:59:22,王橹杰,7529,20517,281,41,2372
2026-04-13 05:59:22,张函瑞,5055,14626,149,27,1613
2026-04-13 05:59:22,张桂源,3104,24569,175,22,960
2026-04-13 05:59:22,杨博文,1211,33433,68,9,375
2026-04-13 05:59:22,陈奕恒,1265,13513,92,12,377
2026-04-13 05:59:22,左奇函,1541,10111,77,15,478
2026-04-13 05:59:22,陈浚铭,1585,8966,58,19,495
2026-04-13 07:54:40,王橹杰,8960,20534,334,53,2822
2026-04-13 07:54:40,张函瑞,6279,14628,191,40,1997
2026-04-13 07:54:40,张桂源,4275,24583,239,37,1319
2026-04-13 07:54:40,杨博文,1903,33440,101,17,589
2026-04-13 07:54:40,陈奕恒,1991,13520,160,18,592
2026-04-13 07:54:40,左奇函,2292,10121,122,26,706
2026-04-13 07:54:40,陈浚铭,2099,8971,90,23,653
2026-04-13 15:26:32,王橹杰,22376,20828,743,114,7118
2026-04-13 15:26:32,张函瑞,15337,14782,417,72,4921
2026-04-13 15:26:32,张桂源,14749,24830,569,111,4651
2026-04-13 15:26:32,杨博文,13749,33951,423,71,4395
2026-04-13 15:26:32,陈奕恒,6391,13611,338,46,1981
2026-04-13 15:26:32,左奇函,7002,10292,281,47,2209
2026-04-13 15:26:32,陈浚铭,6783,9079,227,54,2148
2026-04-13 19:54:41,王橹杰,25141,20927,851,132,7992
2026-04-13 19:54:41,张函瑞,18391,14893,507,108,5885
2026-04-13 19:54:41,张桂源,18309,25033,739,144,5760
2026-04-13 19:54:41,杨博文,17381,34205,535,91,5553
2026-04-13 19:54:41,陈奕恒,8060,13638,433,71,2489
2026-04-13 19:54:41,左奇函,8441,10359,351,61,2656
2026-04-13 19:54:41,陈浚铭,8255,9123,282,62,2615
2026-04-14 04:12:16,王橹杰,6027,21143,237,31,1901
2026-04-14 04:12:16,张函瑞,4191,15132,165,16,1330
2026-04-14 04:12:16,张桂源,2883,25365,114,23,906
2026-04-14 04:12:16,杨博文,1087,34304,66,5,334
2026-04-14 04:12:16,陈奕恒,947,13695,65,9,288
2026-04-14 04:12:16,左奇函,1113,10522,75,12,338
2026-04-14 04:12:16,陈浚铭,1261,9233,64,9,393
2026-04-14 07:06:08,王橹杰,6831,21149,259,37,2156
2026-04-14 07:06:08,张函瑞,4611,15136,182,21,1461
2026-04-14 07:06:08,张桂源,3393,25367,148,27,1062
2026-04-14 07:06:08,杨博文,1467,34305,86,11,450
2026-04-14 07:06:08,陈奕恒,1286,13697,94,15,387
2026-04-14 07:06:08,左奇函,1401,10523,94,16,425
2026-04-14 07:06:08,陈浚铭,1501,9233,76,12,467
2026-04-14 14:15:54,王橹杰,18741,21266,543,86,5995
2026-04-14 14:15:54,张函瑞,12920,15218,305,55,4167
2026-04-14 14:15:54,张桂源,11983,25482,402,68,3813
2026-04-14 14:15:54,杨博文,8743,34395,243,50,2797
2026-04-14 14:15:54,陈奕恒,5515,13763,233,37,1736
2026-04-14 14:15:54,左奇函,6021,10610,218,47,1902
2026-04-14 14:15:54,陈浚铭,5902,9279,209,31,1877
2026-04-14 18:48:41,王橹杰,21853,21319,633,95,6998
2026-04-14 18:48:41,张函瑞,16717,15301,395,74,5390
2026-04-14 18:48:41,张桂源,16646,25686,563,102,5291
2026-04-14 18:48:41,杨博文,15847,34750,378,71,5106
2026-04-14 18:48:41,陈奕恒,6836,13793,308,48,2144
2026-04-14 18:48:41,左奇函,7624,10682,284,52,2412
2026-04-14 18:48:41,陈浚铭,7903,9356,259,49,2515
2026-04-14 23:51:20,王橹杰,27986,21433,920,132,8926
2026-04-14 23:51:20,张函瑞,20752,15475,588,112,6646
2026-04-14 23:51:20,张桂源,20701,25831,812,143,6532
2026-04-14 23:51:20,杨博文,18603,34798,536,96,5954
2026-04-14 23:51:20,陈奕恒,10621,13876,538,83,3304
2026-04-14 23:51:20,左奇函,10488,10844,483,90,3276
2026-04-14 23:51:20,陈浚铭,10829,9484,408,69,3428
2026-04-15 03:54:14,王橹杰,5291,21476,205,27,1657
2026-04-15 03:54:14,张函瑞,4162,15517,144,22,1319
2026-04-15 03:54:14,张桂源,3167,25870,154,22,984
2026-04-15 03:54:14,杨博文,1654,34816,90,12,509
2026-04-15 03:54:14,陈奕恒,934,13887,52,10,286
2026-04-15 03:54:14,左奇函,980,10870,64,7,299
2026-04-15 03:54:14,陈浚铭,1389,9506,69,13,430
2026-04-15 06:32:26,王橹杰,5762,21478,217,32,1807
2026-04-15 06:32:26,张函瑞,4396,15517,160,23,1391
2026-04-15 06:32:26,张桂源,3423,25874,176,24,1060
2026-04-15 06:32:26,杨博文,1900,34820,100,13,587
2026-04-15 06:32:26,陈奕恒,1205,13889,66,11,371
2026-04-15 06:32:26,左奇函,1091,10871,76,7,332
2026-04-15 06:32:26,陈浚铭,1506,9509,70,14,468
2026-04-15 14:12:41,王橹杰,17441,21552,516,83,5566
2026-04-15 14:12:41,张函瑞,12189,15567,320,51,3919
2026-04-15 14:12:41,张桂源,11708,25954,363,59,3735
2026-04-15 14:12:41,杨博文,17228,38926,9377,48,2519
2026-04-15 14:12:41,陈奕恒,4864,13912,219,24,1531
2026-04-15 14:12:41,左奇函,5541,10940,218,36,1749
2026-04-15 14:12:41,陈浚铭,5781,9569,211,37,1831
2026-04-15 18:44:13,王橹杰,21815,21655,669,107,6957
2026-04-15 18:44:13,张函瑞,14840,15594,381,67,4769
2026-04-15 18:44:13,张桂源,14349,26000,471,78,4566
2026-04-15 18:44:13,杨博文,14476,45460,14794,65,3180
2026-04-15 18:44:13,陈奕恒,5994,13922,273,32,1885
2026-04-15 18:44:13,左奇函,6740,10971,263,47,2126
2026-04-15 18:44:13,陈浚铭,7201,9597,255,48,2282
2026-04-15 22:57:51,王橹杰,25348,21708,816,138,8065
2026-04-15 22:57:51,张函瑞,18570,15657,481,81,5970
2026-04-15 22:57:51,张桂源,18050,26113,656,103,5723
2026-04-15 22:57:51,杨博文,16455,45481,14881,73,3807
2026-04-15 22:57:51,陈奕恒,8972,13956,426,62,2806
2026-04-15 22:57:51,左奇函,8678,11024,394,67,2715
2026-04-15 22:57:51,陈浚铭,9120,9632,337,56,2889
2026-04-16 02:48:23,王橹杰,3761,21745,134,17,1194
2026-04-16 02:48:23,张函瑞,2940,15682,89,15,939
2026-04-16 02:48:23,张桂源,2587,26166,94,15,821
2026-04-16 02:48:23,杨博文,947,45499,40,10,293
2026-04-16 02:48:23,陈奕恒,878,13990,48,3,273
2026-04-16 02:48:23,左奇函,1428,11041,49,7,455
2026-04-16 02:48:23,陈浚铭,1414,9693,88,9,436
2026-04-16 05:38:49,王橹杰,4108,21748,137,20,1307
2026-04-16 05:38:49,张函瑞,3185,15683,90,14,1021
2026-04-16 05:38:49,张桂源,2715,26169,99,15,862
2026-04-16 05:38:49,杨博文,1021,45501,45,10,316
2026-04-16 05:38:49,陈奕恒,953,13990,52,4,296
2026-04-16 05:38:49,左奇函,1479,11043,52,7,471
2026-04-16 05:38:49,陈浚铭,1520,9696,93,10,469
2026-04-16 08:04:13,王橹杰,5530,21751,197,29,1755
2026-04-16 08:04:13,张函瑞,4412,15685,130,27,1408
2026-04-16 08:04:13,张桂源,3998,26175,164,24,1262
2026-04-16 08:04:13,杨博文,1832,45507,79,22,567
2026-04-16 08:04:13,陈奕恒,1696,13990,98,9,524
2026-04-16 08:04:13,左奇函,2152,11046,81,17,679
2026-04-16 08:04:13,陈浚铭,2081,9700,118,14,645
2026-04-16 14:25:12,王橹杰,14919,21795,437,46,4793
2026-04-16 14:25:12,张函瑞,10497,15714,240,44,3387
2026-04-16 14:25:12,张桂源,10408,26222,314,67,3320
2026-04-16 14:25:12,杨博文,7114,45558,172,47,2280
2026-04-16 14:25:12,陈奕恒,5125,14033,211,29,1617
2026-04-16 14:25:12,左奇函,5109,11077,169,31,1626
2026-04-16 14:25:12,陈浚铭,5766,9751,216,30,1830
2026-04-16 18:46:27,王橹杰,17413,21809,522,62,5584
2026-04-16 18:46:27,张函瑞,12646,15736,280,44,4090
